ExifTool Version Number         : 12.41
File Name                       : pole_of_perspective.JPG
Directory                       : .
File Size                       : 8.4 MiB
File Modification Date/Time     : 2018:08:10 12:23:16-07:00
File Access Date/Time           : 2022:05:13 22:29:27-07:00
File Creation Date/Time         : 2018:08:10 12:23:16-07:00
File Permissions                : -rw-rw-rw-
File Type                       : JPEG
File Type Extension             : jpg
MIME Type                       : image/jpeg
Exif Byte Order                 : Little-endian (Intel, II)
Make                            : Canon
Camera Model Name               : Canon EOS Rebel T6
Orientation                     : Horizontal (normal)
X Resolution                    : 72
Y Resolution                    : 72
Resolution Unit                 : inches
Modify Date                     : 2018:08:10 11:23:15
Artist                          : 
Y Cb Cr Positioning             : Co-sited
Copyright                       : 
Exposure Time                   : 1/125
F Number                        : 11.0
Exposure Program                : Landscape
ISO                             : 100
Sensitivity Type                : Recommended Exposure Index
Recommended Exposure Index      : 100
Exif Version                    : 0230
Date/Time Original              : 2018:08:10 11:23:15
Create Date                     : 2018:08:10 11:23:15
Components Configuration        : Y, Cb, Cr, -
Shutter Speed Value             : 1/128
Aperture Value                  : 11.3
Flash                           : Off, Did not fire
Focal Length                    : 18.0 mm
Macro Mode                      : Normal
Self Timer                      : Off
Quality                         : Fine
Canon Flash Mode                : Off
Continuous Drive                : Single
Focus Mode                      : Manual Focus (3)
Record Mode                     : CR2+JPEG
Canon Image Size                : Large
Easy Mode                       : Landscape
Digital Zoom                    : None
Contrast                        : Normal
Saturation                      : Normal
Camera ISO                      : Auto
Metering Mode                   : Evaluative
Focus Range                     : Not Known
Canon Exposure Mode             : Easy
Lens Type                       : Canon EF-S 18-55mm f/3.5-5.6 III
Max Focal Length                : 55 mm
Min Focal Length                : 18 mm
Focal Units                     : 1/mm
Max Aperture                    : 3.6
Min Aperture                    : 23
Flash Activity                  : 0
Flash Bits                      : (none)
Zoom Source Width               : 0
Zoom Target Width               : 0
Manual Flash Output             : n/a
Color Tone                      : Normal
SRAW Quality                    : n/a
Auto ISO                        : 100
Base ISO                        : 100
Measured EV                     : 13.38
Target Aperture                 : 11
Target Exposure Time            : 1/128
Exposure Compensation           : -2/3
White Balance                   : Daylight
Slow Shutter                    : None
Shot Number In Continuous Burst : 0
Optical Zoom Code               : n/a
Camera Temperature              : 39 C
Flash Guide Number              : 0
Flash Exposure Compensation     : 0
Auto Exposure Bracketing        : Off
AEB Bracket Value               : 0
Control Mode                    : Camera Local Control
Measured EV 2                   : 13.25
Bulb Duration                   : 0
Camera Type                     : EOS High-end
ND Filter                       : n/a
Canon Image Type                : Canon EOS Rebel T6
Canon Firmware Version          : Firmware Version 1.1.0
Canon Model ID                  : EOS Rebel T6 / 1300D / Kiss X80
Thumbnail Image Valid Area      : 0 159 7 112
AF Area Mode                    : Off (Manual Focus)
Num AF Points                   : 9
Valid AF Points                 : 1
Canon Image Width               : 5184
Canon Image Height              : 3456
AF Image Width                  : 5184
AF Image Height                 : 3456
AF Area Widths                  : 1032 0 0 0 0 0 0 0 0
AF Area Heights                 : 688 0 0 0 0 0 0 0 0
AF Area X Positions             : -136 0 0 0 0 0 0 0 0
AF Area Y Positions             : 490 0 0 0 0 0 0 0 0
AF Points In Focus              : (none)
AF Points Selected              : 0
Time Zone                       : -08:00
Time Zone City                  : Los Angeles
Daylight Savings                : Off
Bracket Mode                    : Off
Bracket Value                   : 0
Bracket Shot Number             : 0
Raw Jpg Size                    : Large
Long Exposure Noise Reduction 2 : Off
WB Bracket Mode                 : Off
WB Bracket Value AB             : 0
WB Bracket Value GM             : 0
Live View Shooting              : On
Focus Distance Upper            : inf
Focus Distance Lower            : 81.91 m
Shutter Mode                    : Mechanical
Flash Exposure Lock             : Off
Internal Serial Number          : ME3292347
Dust Removal Data               : (Binary data 1024 bytes, use -b option to extract)
Crop Left Margin                : 0
Crop Right Margin               : 0
Crop Top Margin                 : 0
Crop Bottom Margin              : 0
Exposure Level Increments       : 1/3 Stop
ISO Expansion                   : Off
